Pressure,Lat,Long,Altitude,MSE
15000.0,-40.0,110.0,13956.672070960303,0.020454908131343947
15000.0,-40.0,150.0,13961.608040526535,0.026542893531042572
15000.0,-40.0,180.0,13912.95470725798,0.0250544657502612
15000.0,-37.0,89.0,14000.313518669673,0.02376928448820381
15000.0,-36.0,-10.0,14070.843019602507,0.02551076851394849
15000.0,-35.0,4.0,14036.703157390133,0.024701906436664922
15000.0,-27.0,116.0,14148.57764400653,0.018879597948276157
15000.0,-22.0,113.0,14178.083470991398,0.01620300536275611
15000.0,-20.0,-92.0,14274.30729490568,0.01380201501381963
15000.0,-18.0,-145.0,14221.0791015625,0.016413911214067028
15000.0,-17.0,35.0,14211.043077256945,0.024929340479224373
15000.0,-12.0,-68.0,14256.78418454602,0.02059513808628192
15000.0,-12.0,-19.0,14250.164125660758,0.02196834514993918
15000.0,-9.0,17.0,14238.451913609038,0.02754411530595844
15000.0,-2.0,-58.0,14228.813240114532,0.027364846539122106
15000.0,1.0,115.0,14219.55644304519,0.023201813001357832
15000.0,2.0,-35.0,14234.162065648321,0.023827713528871065
15000.0,5.0,-53.0,14231.243949523217,0.023224415070134678
15000.0,9.0,45.0,14212.553346548508,0.022965172340823417
15000.0,14.0,18.0,14220.339872901119,0.024243568284280537
15000.0,15.0,-105.0,14217.691605449316,0.020010860106027824
15000.0,21.0,-53.0,14193.73900354996,0.01697874744746789
15000.0,22.0,101.0,14099.518374922263,0.023413906568424587
15000.0,38.0,-100.0,13754.37253673041,0.025697034188347404
15000.0,40.0,-150.0,13688.490639251659,0.04056881142383003
15000.0,40.0,-110.0,13703.91922386764,0.028263715188999214
15000.0,40.0,-75.0,13628.640152104063,0.03531960053897674
15000.0,40.0,-35.0,13662.118894459993,0.027256652885879695
15000.0,40.0,0.0,13658.518310141999,0.022155002236287764
15000.0,40.0,35.0,13641.518444561048,0.02025491617881192
15000.0,40.0,75.0,13636.728718063328,0.02707397133493972
15000.0,40.0,110.0,13653.113606770834,0.03555700051270038
15000.0,40.0,150.0,13648.874522245544,0.029953274546443493
15000.0,40.0,180.0,13633.816164943511,0.0372694684135798
15000.0,41.0,54.0,13611.014750466418,0.02191932279953612
15000.0,49.0,-4.0,13487.171823175788,0.024364253979356286
15000.0,53.0,52.0,13241.007710471082,0.01817881271558346
15000.0,72.0,-47.0,12486.52493878265,0.019892038954123503
15000.0,76.0,-25.0,12432.329062694342,0.02002522364370458
15000.0,79.0,136.0,12439.762096095046,0.01986345659895945
15000.0,80.0,-3.0,12391.217992070895,0.021277368319770635
15000.0,82.0,28.0,12384.009046564055,0.020445527620819012
15000.0,86.0,-22.0,12378.622910836442,0.014458241177473472
2000.0,-84.0,-22.0,26044.17970693408,0.011195981629171308
2000.0,-81.0,12.0,26142.27002681903,0.012127381131569503
2000.0,-75.0,-97.0,26000.176756192992,0.00936671886985409
2000.0,-67.0,25.0,26478.40022543532,0.008854171251824337
2000.0,-66.0,-126.0,26158.029322787104,0.008195575509802927
2000.0,-61.0,-137.0,26301.435025393865,0.009257726945434726
2000.0,-50.0,91.0,26461.180801720562,0.008978773833021616
2000.0,-47.0,155.0,26527.090394382256,0.0066878965282877526
2000.0,-45.0,3.0,26618.274956597223,0.010395342517005106
2000.0,-45.0,42.0,26594.607370050788,0.014310005135974111
2000.0,-45.0,114.0,26493.776903244197,0.007287250479533236
2000.0,-44.0,123.0,26508.909420993987,0.007215889924760677
2000.0,-43.0,-127.0,26486.338645315092,0.00789572212420544
2000.0,-40.0,-150.0,26524.830470045606,0.009106930182083068
2000.0,-40.0,-110.0,26492.38039295709,0.008093751605521612
2000.0,-40.0,-75.0,26531.40818369092,0.009288127736332523
2000.0,-40.0,-35.0,26576.87591016273,0.01056824785600609
2000.0,-40.0,0.0,26590.802118962478,0.011218366361395093
2000.0,-40.0,35.0,26578.7207517102,0.010904575624706677
2000.0,-40.0,75.0,26533.636057991294,0.010271925623127565
2000.0,-40.0,110.0,26518.729484089967,0.007256415776291837
2000.0,-40.0,150.0,26539.766363495026,0.007763192745260924
2000.0,-40.0,180.0,26534.431608234867,0.008447816907341383
2000.0,-39.0,93.0,26518.8531010313,0.01032257782451382
2000.0,-33.0,163.0,26517.611311929933,0.006380883159846319
2000.0,-30.0,-121.0,26501.57922626451,0.009964587427201257
2000.0,-29.0,31.0,26503.16071012127,0.009023871213640868
2000.0,-28.0,-109.0,26495.15032260572,0.009732132345220825
2000.0,-22.0,96.0,26461.26145962894,0.014902103741256082
2000.0,-19.0,-86.0,26442.22984362044,0.021290508872817637
2000.0,-11.0,-141.0,26408.17707037728,0.02251202280822938
2000.0,-6.0,-175.0,26405.511731706054,0.027419335345988075
2000.0,-5.0,-53.0,26412.961863857796,0.027434685449590396
2000.0,-2.0,-19.0,26416.459168998757,0.030044325933313073
2000.0,-1.0,166.0,26412.458255597016,0.025391875847953004
2000.0,5.0,-120.0,26411.47876502902,0.02325505261896902
2000.0,8.0,151.0,26408.63574704602,0.03285207250559049
2000.0,12.0,-152.0,26411.717716754767,0.026367732249210126
2000.0,18.0,-85.0,26431.427196698798,0.028459232271049257
2000.0,26.0,76.0,26438.819437966416,0.015365204934660294
2000.0,27.0,69.0,26441.358723958332,0.014470590717827378
2000.0,32.0,56.0,26461.00509496787,0.010527086925922507
2000.0,35.0,141.0,26390.373030679933,0.0109434528005035
2000.0,40.0,-150.0,26378.541754120026,0.009843297523643015
2000.0,40.0,-110.0,26444.92063769693,0.010257832492941876
2000.0,40.0,-75.0,26503.149166277984,0.008402013413323394
2000.0,40.0,-35.0,26576.51606226679,0.009335380457599692
2000.0,40.0,0.0,26583.549229762644,0.008852888874860262
2000.0,40.0,35.0,26511.164337816128,0.006092319559763741
2000.0,40.0,75.0,26405.060669957504,0.008753520563755238
2000.0,40.0,110.0,26330.87520729685,0.011434563182233471
2000.0,40.0,150.0,26306.786131192992,0.010427661018716092
2000.0,40.0,180.0,26333.39478713205,0.010902632587085999
2000.0,44.0,-17.0,26583.14434338723,0.009045496569007749
2000.0,45.0,-80.0,26409.31431384743,0.008216849439591866
2000.0,45.0,-43.0,26529.213065531716,0.009040026782433812
2000.0,49.0,115.0,25994.014640339967,0.010359031606676887
2000.0,50.0,157.0,25862.554467247097,0.011328383901047895
2000.0,52.0,-67.0,26186.492845019693,0.010528652679723954
